image,vehicle_count,traffic_level
screenshot_2387_jpg.rf.517318df5376a53bc68c10be6ffce628.jpg,7,Low
37 (16).jpg,1,Low
duque_de_caxias-1610_png_jpg.rf.6a2d1ed46436d18cfd9cfc59dd11b02a.jpg,17,High
ant_sales-2565_png_jpg.rf.c91afd144300c0fd4405f64a82dd80d6.jpg,6,Low
35 (4).jpg,0,Low
40 (715).jpg,0,Low
35 (19).jpg,0,Low
40 (704).jpg,1,Low
image67_png_jpg.rf.88792b888a7edd6137de201bc8f75cd7.jpg,7,Low
aguanambi-2670_png_jpg.rf.1287a75cc98666be54dfa494d7b2bfe8.jpg,20,High
aguanambi-3125_png_jpg.rf.c928762f63b976739588cd27f57fcede.jpg,22,High
ant_sales-10375_png_jpg.rf.558a5baa30854f83b5c03dd0b22a24d3.jpg,6,Low
ant_sales-11315_png_jpg.rf.9899fb650dd98575df30a99882b908b1.jpg,8,Moderate
37 (9).jpg,5,Low
35 (25).jpg,0,Low
35 (100).jpg,0,Low
35 (26).jpg,1,Low
37 (15).jpg,0,Low
35 (44).jpg,0,Low
screenshot_12375_jpg.rf.03633468ccad246949a95e834ef213cf.jpg,0,Low
aguanambi-4150_png_jpg.rf.0c2a8b2a9966fead3a0fc8f4d560719f.jpg,12,Moderate
screenshot_32345_jpg.rf.a43fa3a66e3924c50fc4c38a22b0a04e.jpg,12,Moderate
37 (5).jpg,1,Low
aguanambi-2995_png_jpg.rf.2fa2f60b9d1c1250287a03624c83817b.jpg,15,Moderate
37 (26).jpg,0,Low
ant_sales-1055_png_jpg.rf.3fc8ea777b5ce1ca691ed0ba918e235f.jpg,5,Low
35 (114).jpg,1,Low
39 (37).jpg,3,Low
35 (77).jpg,1,Low
35 (104).jpg,0,Low
35 (61).jpg,7,Low
35 (120).jpg,1,Low
ant_sales-2340_png_jpg.rf.731a023f1d84ff655f524db3e9a19eeb.jpg,4,Low
35 (59).jpg,3,Low
35 (22).jpg,0,Low
ant_sales-10440_png_jpg.rf.ca83fe6066595a1f3ff80757a908d189.jpg,8,Moderate
39 (10).jpg,2,Low
40 (2).jpg,4,Low
screenshot_26533_jpg.rf.4f20415f4d181828961118dda8c82a1b.jpg,7,Low
screenshot_26384_jpg.rf.1c044283afc0cc53a66c0658151bc146.jpg,4,Low
screenshot_25341_jpg.rf.b6353b362a87027fb12315ae60a67221.jpg,0,Low
35 (107).jpg,0,Low
duque_de_caxias-1410_png_jpg.rf.3c0bc3cdc8804d07543eee7eecc0b8b5.jpg,13,Moderate
40 (17).jpg,0,Low
duque_de_caxias-750_png_jpg.rf.1ecfffea74b809e9d3a86ac4d9eb562c.jpg,9,Moderate
35 (28).jpg,1,Low
35 (11).jpg,0,Low
35 (20).jpg,0,Low
36 (4).jpg,0,Low
40 (22).jpg,2,Low
screenshot_11925_jpg.rf.f809b665f8b4efe6469423a4629592eb.jpg,3,Low
39 (33).jpg,0,Low
ant_sales-2455_png_jpg.rf.13e90616bcd9fc3a4966daf780c83da5.jpg,7,Low
aguanambi-3275_png_jpg.rf.77be8ec5a4c83e355c850ea89764c192.jpg,15,Moderate
40 (25).jpg,2,Low
40 (5).jpg,9,Moderate
35 (82).jpg,3,Low
35 (95).jpg,2,Low
duque_de_caxias-1715_png_jpg.rf.45822792f4f3c060da69def4f8e90f8b.jpg,11,Moderate
duque_de_caxias-900_png_jpg.rf.4e6ca105e001b7af18209503f66e7a7f.jpg,7,Low
35 (88).jpg,4,Low
36 (15).jpg,1,Low
35 (93).jpg,2,Low
ant_sales-10975_png_jpg.rf.f39f7653f6f687c8dcf712fa83144b94.jpg,7,Low
37 (35).jpg,1,Low
40 (24).jpg,2,Low
39 (4).jpg,0,Low
35 (127).jpg,2,Low
37 (36).jpg,5,Low
ant_sales-11820_png_jpg.rf.c1068ad225002e04e2a776cf31ce3fad.jpg,9,Moderate
40 (27).jpg,0,Low
35 (73).jpg,3,Low
screenshot_27129_jpg.rf.c67a199f07c98e2e2183870698472a3b.jpg,5,Low
aguanambi-4420_png_jpg.rf.426b3003764408929230fab15285af66.jpg,17,High
screenshot_36369_jpg.rf.6ef56409df9f8d5ce61903b230a84fce.jpg,3,Low
40 (12).jpg,1,Low
36 (1).jpg,2,Low
screenshot_1942_jpg.rf.a416586c75ccc39c69c4cfb481a696e6.jpg,1,Low
ant_sales-10395_png_jpg.rf.4dc62bdef45bf6d71c7fe52a00e189da.jpg,6,Low
ant_sales-1815_png_jpg.rf.577f759aabc16ee8dee6a38e526ef9a1.jpg,3,Low
37 (13).jpg,0,Low
aguanambi-3535_png_jpg.rf.6e0b3ad91b2b02914b2d96894b05d7ca.jpg,25,High
35 (83).jpg,2,Low
aguanambi-2555_png_jpg.rf.e8fe552acc205329ac459d1087eb0637.jpg,15,Moderate
37 (6).jpg,0,Low
39 (27).jpg,1,Low
35 (132).jpg,1,Low
36 (16).jpg,1,Low
40 (716).jpg,0,Low
screenshot_7751_jpg.rf.8e647483ab4a7f4882b52958407048f6.jpg,3,Low
screenshot_745_jpg.rf.77a672ae80a282bd5fd813747dfcf370.jpg,30,High
ant_sales-12105_png_jpg.rf.ca746f20cdb24209cc407a88d42eb912.jpg,6,Low
39 (30).jpg,1,Low
36 (11).jpg,0,Low
35 (33).jpg,0,Low
40 (701).jpg,1,Low
35 (142).jpg,3,Low
ant_sales-12160_png_jpg.rf.76670361f96a8c1e973633b8df726a5f.jpg,6,Low
image08_png_jpg.rf.3fa58230a35fb3e0d9abb94959090942.jpg,26,High
screenshot_11030_jpg.rf.74c2874cac4916f2e472aeb6437bd2ec.jpg,7,Low
40 (705).jpg,0,Low
35 (126).jpg,2,Low
39 (35).jpg,0,Low
35 (42).jpg,0,Low
35 (67).jpg,3,Low
40 (729).jpg,0,Low
35 (71).jpg,7,Low
37 (2).jpg,7,Low
40 (719).jpg,0,Low
36 (13).jpg,1,Low
duque_de_caxias-2040_png_jpg.rf.f4897be05a717ba74b5a8728ca1f4591.jpg,10,Moderate
37 (27).jpg,0,Low
screenshot_7754_jpg.rf.311dc7be2777e7fccdd513ebf2a29738.jpg,1,Low
aguanambi-5305_png_jpg.rf.b2f788568b4c710f18a1c297d9e2c086.jpg,16,High
35 (12).jpg,1,Low
39 (11).jpg,1,Low
35 (36).jpg,0,Low
38 (3).jpg,0,Low
duque_de_caxias-1135_png_jpg.rf.1e7c8c12e0a8117c001d65296bfa56e5.jpg,22,High
screenshot_17887_jpg.rf.6487401d8009a02fee435141de4ba4b6.jpg,2,Low
ant_sales-10415_png_jpg.rf.ad5eb833b88c0f3e302c20f1f6fc32fb.jpg,10,Moderate
ant_sales-11185_png_jpg.rf.b6d79b3c7bdcf7221dbb59bc7c92f2b8.jpg,9,Moderate
35 (139).jpg,2,Low
35 (64).jpg,1,Low
40 (14).jpg,0,Low
37 (8).jpg,4,Low
35 (10).jpg,0,Low
40 (725).jpg,0,Low
40 (1).jpg,4,Low
ant_sales-10370_png_jpg.rf.0480ed5a0843bb80f842274c85b96ce4.jpg,8,Moderate
35 (47).jpg,1,Low
aguanambi-4400_png_jpg.rf.71193dbc426e26320a25cfb67e7e5233.jpg,20,High
35 (29).jpg,1,Low
35 (24).jpg,0,Low
35 (79).jpg,0,Low
35 (69).jpg,5,Low
